"Label (Grouping)","Houston city, Texas!!Total population!!Estimate","Houston city, Texas!!White alone!!Estimate","Houston city, Texas!!White alone or in combination with one or more other races!!Estimate","Houston city, Texas!!Black or African American alone!!Estimate","Houston city, Texas!!Black or African American alone or in combination with one or more other races!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","Houston city, Texas!!American Indian tribal grouping alone or in any combination!!Estimate","Houston city, Texas!!Asian alone!!Estimate","Houston city, Texas!!Asian Indian alone!!Estimate","Houston city, Texas!!Chinese alone!!Estimate","Houston city, Texas!!Chinese, except Taiwanese alone!!Estimate","Houston city, Texas!!Filipino alone!!Estimate","Houston city, Texas!!Korean alone!!Estimate","Houston city, Texas!!Pakistani alone!!Estimate","Houston city, Texas!!Vietnamese alone!!Estimate","Houston city, Texas!!Asian alone or in combination with one or more other races!!Estimate","Houston city, Texas!!Asian Indian alone or in any combination!!Estimate","Houston city, Texas!!Chinese alone or in any combination!!Estimate","Houston city, Texas!!Chinese, except Taiwanese alone or in any combination!!Estimate","Houston city, Texas!!Filipino alone or in any combination!!Estimate","Houston city, Texas!!Korean alone or in any combination!!Estimate","Houston city, Texas!!Pakistani alone or in any combination!!Estimate","Houston city, Texas!!Vietnamese alone or in any combination!!Estimate","Houston city, Texas!!Some Other Race alone!!Estimate","Houston city, Texas!!Some Other Race alone or in combination with one or more other races!!Estimate","Houston city, Texas!!Two or More Races !!Estimate","Houston city, Texas!!Two races with Some Other Race!!Estimate","Houston city, Texas!!Two races without Some Other Race!!Estimate","Houston city, Texas!!White; Black or African American!!Estimate","Houston city, Texas!!White; American Indian and Alaska Native!!Estimate","Houston city, Texas!!White; Asian!!Estimate","Houston city, Texas!!White; Some Other Race!!Estimate","Houston city, Texas!!Hispanic or Latino (of any race)!!Estimate","Houston city, Texas!!Mexican!!Estimate","Houston city, Texas!!Puerto Rican!!Estimate","Houston city, Texas!!Cuban!!Estimate","Houston city, Texas!!Central American!!Estimate","Houston city, Texas!!Guatemalan!!Estimate","Houston city, Texas!!Honduran!!Estimate","Houston city, Texas!!Salvadoran!!Estimate","Houston city, Texas!!South American!!Estimate","Houston city, Texas!!Colombian!!Estimate","Houston city, Texas!!Venezuelan!!Estimate","Houston city, Texas!!White alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Asian alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Two or More Races, not Hispanic or Latino!!Estimate","Houston city, Texas!!White alone, Hispanic or Latino!!Estimate","Houston city, Texas!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone, Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone, Hispanic or Latino!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone, Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!Two or More Races, Hispanic or Latino!!Estimate","Houston city, Texas!!White in combination with one or more other races!!Estimate","Houston city, Texas!!Black or African American in combination with one or more other races!!Estimate","Houston city, Texas!!American Indian and Alaska Native in combination with one or more other races!!Estimate","Houston city, Texas!!Asian in combination with one or more other races!!Estimate","Houston city, Texas!!Some Other Race in combination with one or more other races!!Estimate","Houston city, Texas!!Three or more races with Some Other Race!!Estimate"
"        25 to 29 years","105,059","48,872","58,277","22,982","24,312","327","1,239","670","8,620","2,439","2,122","2,043","360","277","629","1,881","9,586","2,513","2,519","2,440","392","421","728","1,994","14,148","22,088","10,017","7,667","1,810","455","580","648","7,225","46,534","29,208","781","601","11,691","3,694","2,995","4,731","2,548","716","1,046","24,888","26,665","22,655","23,358","626","8,543","9,431","392","574","1,960","23,984","31,612","327","954","314","613","13,756","21,514","8,057","9,405","1,330","912","966","7,940","540"
"        30 to 34 years","104,400","49,082","58,941","21,622","22,889","600","1,183","512","9,171","2,998","2,357","2,267","422","275","663","1,546","10,317","3,291","2,611","2,521","690","368","735","1,627","13,250","21,967","10,646","8,587","1,598","469","233","614","8,037","45,294","27,838","875","1,303","12,003","3,059","4,610","3,702","1,897","730","672","26,570","28,104","20,981","21,717","616","9,047","10,121","312","587","1,909","22,512","30,837","641","1,172","342","567","12,938","21,380","8,737","9,859","1,267","583","1,146","8,717","461"
"        35 to 39 years","92,214","42,628","51,939","17,777","18,637","853","1,486","651","7,621","2,560","1,515","1,324","332","499","520","887","8,576","2,623","1,746","1,663","470","534","530","972","13,274","21,647","10,019","8,302","1,625","375","342","743","7,759","43,337","26,878","857","1,028","10,979","2,776","2,956","4,921","1,882","808","657","21,913","23,152","17,282","17,736","513","7,579","8,341","348","605","1,498","20,715","28,787","495","901","638","973","12,926","21,042","8,521","9,311","860","633","955","8,373","92"
"        40 to 44 years","77,897","36,395","44,518","14,948","15,509","710","1,341","444","5,402","2,034","1,004","869","406","282","239","992","5,770","2,079","1,112","1,065","488","294","257","1,010","11,766","19,669","8,676","7,714","666","107","238","170","7,312","39,236","24,725","662","1,105","9,103","1,731","2,520","4,699","2,358","357","1,380","17,583","18,071","14,678","14,933","398","5,297","5,608","173","359","703","18,812","26,447","270","576","483","943","11,593","19,310","7,973","8,123","561","631","368","7,903","296"
"        45 to 49 years","70,217","31,955","40,232","13,936","14,667","271","1,042","279","5,032","1,041","877","865","479","257","290","1,528","5,398","1,089","929","917","534","257","345","1,541","9,881","17,977","9,142","8,055","1,018","264","246","174","7,487","33,807","22,589","466","759","7,004","1,110","1,729","3,867","1,356","184","549","16,338","17,005","13,755","14,167","372","5,018","5,375","213","419","1,027","15,617","23,227","181","500","212","670","9,668","17,558","8,115","8,277","731","771","366","8,096","69"
"        50 to 54 years","66,937","32,934","39,967","13,406","13,864","315","698","383","4,217","640","1,232","1,222","388","263","271","1,126","4,548","666","1,310","1,310","423","281","277","1,233","8,655","15,179","7,365","6,459","836","299","246","188","6,230","29,304","20,554","334","971","5,346","875","1,164","3,065","1,395","608","294","18,895","19,637","13,236","13,546","340","4,187","4,511","273","470","922","14,039","20,330","170","318","195","358","8,382","14,709","6,443","7,033","458","383","331","6,524","70"
"        55 to 59 years","61,864","31,053","35,967","13,749","14,267","313","627","446","3,815","708","829","806","380","17","181","1,481","4,144","757","878","870","454","34","190","1,546","7,467","12,284","5,450","4,780","588","86","205","134","4,400","24,551","18,275","254","586","3,717","598","494","2,368","692","299","229","18,750","19,401","13,605","13,869","382","3,815","4,105","105","402","894","12,303","16,566","144","398","186","245","7,362","11,882","4,556","4,914","518","314","329","4,817","82"
"        60 and 61 years","23,321","11,526","14,308","4,574","4,641","104","381","239","1,582","316","390","372","110","5","102","479","1,627","326","424","406","110","5","102","513","2,698","5,211","2,837","2,508","324","41","229","33","2,474","9,329","6,363","203","437","1,766","116","332","1,213","372","32","104","7,497","7,736","4,552","4,587","140","1,582","1,627","0","196","294","4,029","6,572","22","54","37","241","2,698","5,015","2,543","2,782","67","277","45","2,513","5"
"        62 to 64 years","34,259","16,983","19,983","8,469","8,553","221","454","269","2,347","352","639","609","276","68","148","744","2,451","355","658","635","276","68","151","744","3,126","5,946","3,113","2,820","278","11","144","82","2,748","11,199","8,501","103","126","1,586","174","163","1,131","423","233","112","11,902","12,146","8,438","8,490","246","2,347","2,451","5","34","307","5,081","7,837","31","63","160","208","3,121","5,912","2,806","3,000","84","233","104","2,820","15"
"        65 and 66 years","17,498","8,789","10,046","4,157","4,234","61","166","87","1,215","209","284","270","57","15","67","527","1,393","209","284","270","57","15","176","527","1,863","2,995","1,410","1,094","278","33","67","52","1,067","5,505","3,901","130","62","878","246","169","448","301","177","0","6,337","6,534","4,063","4,113","87","1,215","1,393","29","77","323","2,452","3,512","94","121","38","79","1,834","2,918","1,087","1,257","77","105","178","1,132","38"
"        67 to 69 years","25,776","13,569","15,406","6,571","6,700","58","109","78","1,678","304","362","342","125","32","20","620","1,689","326","389","369","125","32","23","640","2,042","3,748","1,858","1,697","143","110","32","1","1,676","7,120","5,179","97","73","889","313","19","447","476","104","66","10,258","10,457","6,540","6,659","24","1,659","1,660","0","64","199","3,311","4,949","31","41","58","85","2,042","3,684","1,659","1,837","129","51","11","1,706","18"
"        70 to 74 years","29,012","15,919","17,819","6,602","6,650","169","313","176","2,132","517","511","471","268","97","155","513","2,273","532","521","481","268","97","226","531","2,179","3,978","2,002","1,797","190","0","76","75","1,734","7,304","5,471","17","162","997","52","66","663","265","198","5","12,421","12,821","6,520","6,555","238","2,132","2,260","26","338","502","3,498","4,998","82","95","62","75","2,153","3,640","1,500","1,900","48","144","141","1,799","15"
"        75 to 79 years","18,935","10,765","11,571","3,731","3,800","79","321","106","1,646","158","468","360","124","71","190","594","1,660","163","489","388","124","71","195","606","1,795","2,513","919","716","183","26","118","5","637","4,960","3,605","59","144","631","13","101","449","299","140","117","8,347","8,544","3,692","3,742","154","1,646","1,660","45","115","231","2,418","3,027","39","58","65","167","1,750","2,398","688","806","69","242","14","718","20"
"        80 to 84 years","10,493","6,383","6,922","1,809","1,974","12","115","87","832","102","340","306","34","46","0","305","868","102","354","320","34","46","0","305","835","1,245","622","401","212","117","37","14","362","2,511","2,019","32","54","115","5","0","110","168","150","18","5,139","5,309","1,809","1,940","47","832","851","13","24","189","1,244","1,613","0","34","12","68","822","1,221","433","539","165","103","36","410","9"
"        85 years and over","10,751","6,630","7,308","2,099","2,104","15","79","33","878","157","244","244","10","14","1","404","902","168","244","244","10","25","1","404","434","1,029","683","595","88","0","64","24","590","2,262","1,515","5","42","278","54","85","96","187","63","0","5,443","5,532","2,075","2,075","31","878","902","0","38","89","1,187","1,776","24","29","11","48","434","991","594","678","5","64","24","595","0"
"    Female:","1,151,371","532,452","645,141","276,323","293,654","5,824","14,283","7,275","79,333","16,984","18,547","17,148","6,119","4,402","4,777","20,006","89,484","17,747","21,465","20,222","7,775","5,441","5,083","22,097","135,307","231,922","121,372","94,358","23,456","9,157","3,787","6,734","89,482","496,137","340,319","8,489","7,462","96,895","13,380","30,439","48,432","21,927","7,382","8,319","275,363","294,984","270,942","282,491","6,671","78,975","87,722","3,505","7,471","24,284","257,089","350,157","5,381","11,163","4,193","7,612","131,802","224,451","97,088","112,689","17,331","8,459","10,151","96,615","3,558"
"        Under 5 years","82,135","35,982","47,627","18,637","21,699","235","817","533","4,501","1,399","617","562","323","86","462","635","6,186","1,576","1,209","1,131","506","397","559","1,023","10,217","18,337","12,451","7,825","4,185","2,105","219","1,448","7,416","42,022","28,309","934","411","8,580","1,901","2,726","3,528","985","163","433","13,255","16,631","18,058","19,827","446","4,404","5,849","559","1,045","3,784","22,727","30,996","579","1,872","235","371","9,658","17,292","8,667","11,645","3,062","582","1,685","8,120","441"
"        5 to 9 years","74,761","35,210","42,828","17,655","19,115","266","537","237","3,052","823","444","406","245","130","332","497","3,986","862","698","673","401","222","344","882","10,520","16,422","8,022","5,750","2,082","1,088","50","702","5,588","40,593","27,583","659","441","8,621","1,615","2,941","3,749","1,151","315","392","11,444","13,088","17,328","18,424","136","3,028","3,891","401","512","1,895","23,766","29,740","327","691","203","401","10,119","15,910","6,127","7,618","1,460","271","934","5,902","190"
"        10 to 14 years","79,042","35,378","45,665","17,122","18,984","442","1,043","558","3,417","701","925","904","270","112","180","898","4,572","787","1,193","1,180","455","147","238","1,206","11,550","19,969","11,026","8,054","2,511","1,110","342","514","7,901","45,756","33,778","470","237","7,792","886","3,176","3,677","1,292","406","526","10,674","12,371","16,318","17,570","430","3,417","4,358","551","765","2,166","24,704","33,294","804","1,414","351","613","10,999","19,204","8,860","10,287","1,862","601","1,155","8,419","461"
"        15 to 17 years","44,502","19,898","25,315","9,335","10,019","430","917","286","2,188","427","356","348","134","171","120","705","2,794","536","522","522","214","215","127","880","6,799","11,421","5,802","4,532","1,090","340","206","389","4,302","26,201","19,387","336","162","4,231","500","1,438","2,189","904","181","463","6,095","6,992","8,891","9,308","178","2,178","2,666","73","145","980","13,803","18,323","444","711","396","739","6,726","11,276","4,822","5,417","684","487","606","4,622","180"
"        18 and 19 years","29,099","13,133","16,363","6,411","6,856","166","550","189","1,427","351","311","311","79","23","112","468","1,640","363","346","346","115","31","114","523","4,395","7,325","3,558","2,871","566","234","95","179","2,581","16,341","11,977","171","43","3,088","209","665","2,075","576","172","323","4,363","4,883","6,288","6,572","195","1,427","1,640","59","77","576","8,770","11,480","123","284","130","355","4,336","7,248","2,982","3,230","445","384","213","2,930","121"
"        20 years","14,186","6,166","7,900","3,191","3,432","142","172","112","670","97","245","245","27","11","93","144","850","107","372","372","57","29","103","243","2,256","3,709","1,761","1,429","211","105","25","74","1,409","8,153","5,784","98","134","1,554","266","543","671","208","13","150","2,050","2,237","3,064","3,161","50","636","784","50","85","194","4,116","5,663","127","271","103","122","2,206","3,624","1,567","1,734","241","30","180","1,453","121"
"        21 years","15,590","6,811","8,937","3,347","3,682","273","393","141","984","207","234","234","68","18","47","224","1,059","207","258","258","68","24","47","224","1,871","3,799","2,300","1,911","372","194","103","44","1,768","8,780","6,526","11","103","1,563","174","540","843","416","137","129","2,070","2,350","3,340","3,548","101","984","1,059","59","91","343","4,741","6,587","7","134","263","292","1,812","3,708","1,957","2,126","335","120","75","1,928","17"
"        22 to 24 years","53,157","24,018","28,959","13,261","14,029","233","629","376","3,562","730","1,081","998","183","204","160","811","4,149","747","1,157","1,060","289","236","167","826","6,592","10,963","5,491","4,302","1,044","332","104","437","3,923","23,273","15,994","445","582","4,662","638","1,485","2,214","947","139","496","12,102","12,953","12,937","13,391","339","3,547","4,103","97","185","1,075","11,916","16,006","324","638","107","290","6,495","10,778","4,416","4,941","768","396","587","4,371","145"
"        25 to 29 years","106,016","47,605","57,857","25,354","27,535","588","1,216","679","8,942","2,301","2,051","1,834","584","584","494","2,067","9,874","2,329","2,248","2,047","822","787","496","2,166","12,146","20,847","11,341","8,629","2,484","1,220","318","671","7,793","43,223","27,831","574","583","10,529","2,147","3,793","4,119","2,319","656","1,163","25,420","27,767","24,920","26,847","601","8,858","9,665","286","1,022","3,166","22,185","30,090","434","688","468","615","11,860","19,825","8,175","10,252","2,181","628","932","8,701","228"
"        30 to 34 years","96,480","42,953","51,840","23,532","25,038","328","929","392","8,929","3,013","1,828","1,783","346","438","526","1,889","9,826","3,069","1,991","1,916","631","505","556","1,946","10,954","18,746","9,647","7,453","1,815","675","158","669","7,001","38,578","23,538","1,229","1,094","9,763","1,514","3,065","4,790","1,444","560","542","23,395","25,239","22,975","23,717","307","8,929","9,651","278","912","2,143","19,558","26,601","557","1,321","236","622","10,676","17,834","7,504","8,887","1,506","601","897","7,792","379"
"        35 to 39 years","82,635","38,068","45,563","18,674","19,653","437","1,367","478","7,556","2,134","1,222","1,008","636","702","705","1,212","8,115","2,219","1,526","1,398","764","839","705","1,344","9,816","16,187","8,022","6,261","1,533","441","462","307","6,057","35,578","22,859","687","719","7,706","756","2,730","3,737","2,347","942","733","19,589","20,643","18,139","18,789","842","7,548","8,030","173","253","1,394","18,479","24,920","535","864","285","525","9,643","15,934","6,628","7,495","979","930","559","6,371","228"
"        40 to 44 years","74,799","32,377","40,735","17,454","18,365","232","836","355","5,370","1,098","1,207","1,092","468","408","159","1,281","5,957","1,173","1,395","1,292","471","408","159","1,457","10,401","17,913","8,908","7,466","1,282","334","246","353","7,265","34,553","22,038","719","587","7,839","683","2,708","4,032","2,133","693","908","15,955","16,960","17,269","17,963","430","5,346","5,889","183","430","1,406","16,422","23,775","185","402","187","406","10,218","17,483","7,502","8,358","911","604","587","7,512","160"
"        45 to 49 years","69,681","29,649","37,248","16,141","16,943","415","939","553","5,709","895","1,573","1,453","529","426","204","1,731","6,165","901","1,682","1,580","614","473","204","1,754","9,401","16,962","8,311","7,139","732","158","178","228","6,674","32,637","22,962","461","552","6,152","759","1,741","3,405","1,441","405","659","14,259","14,979","15,941","16,198","341","5,684","6,024","74","344","903","15,390","22,269","200","745","287","598","9,327","16,618","7,408","7,599","802","524","456","7,561","440"
"        50 to 54 years","62,786","29,647","34,827","15,173","15,522","486","1,069","648","4,773","533","1,142","1,094","317","241","264","1,690","5,156","569","1,266","1,237","346","241","275","1,818","7,030","11,827","5,635","4,759","788","138","298","225","4,433","24,580","16,701","482","520","4,291","293","990","2,709","1,481","640","512","17,179","17,798","15,021","15,324","496","4,767","5,126","179","350","889","12,468","17,029","152","198","334","573","6,851","11,477","4,746","5,180","349","583","383","4,797","88"
"        55 to 59 years","63,888","30,068","36,211","16,186","16,592","341","765","382","3,996","541","1,120","1,015","456","160","92","1,322","4,212","552","1,232","1,133","456","169","92","1,345","6,873","12,582","6,415","5,678","671","167","284","113","5,513","23,809","16,375","472","515","4,022","329","855","2,630","1,464","645","395","18,623","19,383","16,145","16,459","445","3,976","4,142","271","584","914","11,445","16,828","41","133","200","320","6,602","11,998","5,501","6,143","406","424","216","5,709","66"
"        60 and 61 years","25,541","11,984","13,517","6,984","7,240","133","311","260","1,779","202","540","517","177","30","209","461","1,849","202","550","545","199","30","210","461","2,866","4,418","1,786","1,507","234","18","75","10","1,370","8,229","5,911","66","95","1,257","153","182","738","624","365","120","8,246","8,366","6,884","7,070","227","1,779","1,802","34","124","301","3,738","5,151","100","170","74","84","2,832","4,294","1,485","1,533","256","178","70","1,552","45"
"        62 to 64 years","34,016","17,084","19,263","10,085","10,293","95","310","163","2,228","365","704","680","222","43","103","692","2,415","365","791","774","222","43","103","692","2,148","4,118","2,376","1,946","319","44","81","80","1,863","9,475","6,877","62","128","1,241","49","222","938","637","321","136","11,759","12,066","10,000","10,147","161","2,217","2,404","77","176","430","5,325","7,197","85","146","37","149","2,071","3,942","1,946","2,179","208","215","187","1,970","111"
"        65 and 66 years","19,485","9,635","10,450","5,631","5,694","89","183","102","1,625","110","503","480","181","44","116","545","1,645","110","503","480","181","52","116","553","1,627","2,379","878","752","126","0","86","8","709","5,689","4,115","121","38","1,091","224","146","576","138","31","45","6,434","6,534","5,584","5,604","103","1,625","1,645","8","18","120","3,201","3,916","47","90","64","80","1,619","2,361","758","815","63","94","20","752","0"
