"Label (Grouping)","Chicago city, Cook County, Illinois!!Total population!!Estimate","Chicago city, Cook County, Illinois!!White alone!!Estimate","Chicago city, Cook County, Illinois!!White alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!American Indian tribal grouping alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Asian alone!!Estimate","Chicago city, Cook County, Illinois!!Asian Indian alone!!Estimate","Chicago city, Cook County, Illinois!!Chinese alone!!Estimate","Chicago city, Cook County, Illinois!!Chinese, except Taiwanese alone!!Estimate","Chicago city, Cook County, Illinois!!Filipino alone!!Estimate","Chicago city, Cook County, Illinois!!Korean alone!!Estimate","Chicago city, Cook County, Illinois!!Pakistani alone!!Estimate","Chicago city, Cook County, Illinois!!Vietnamese alone!!Estimate","Chicago city, Cook County, Illinois!!Asian alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Asian Indian alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Chinese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Chinese, except Taiwanese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Japanese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Korean alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Pakistani alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Vietnamese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Two or More Races !!Estimate","Chicago city, Cook County, Illinois!!Two races with Some Other Race!!Estimate","Chicago city, Cook County, Illinois!!Two races without Some Other Race!!Estimate","Chicago city, Cook County, Illinois!!White; Black or African American!!Estimate","Chicago city, Cook County, Illinois!!White; American Indian and Alaska Native!!Estimate","Chicago city, Cook County, Illinois!!White; Asian!!Estimate","Chicago city, Cook County, Illinois!!White; Some Other Race!!Estimate","Chicago city, Cook County, Illinois!!Hispanic or Latino (of any race)!!Estimate","Chicago city, Cook County, Illinois!!Mexican!!Estimate","Chicago city, Cook County, Illinois!!Puerto Rican!!Estimate","Chicago city, Cook County, Illinois!!Cuban!!Estimate","Chicago city, Cook County, Illinois!!Central American!!Estimate","Chicago city, Cook County, Illinois!!Guatemalan!!Estimate","Chicago city, Cook County, Illinois!!South American!!Estimate","Chicago city, Cook County, Illinois!!Colombian!!Estimate","Chicago city, Cook County, Illinois!!Ecuadorian!!Estimate","Chicago city, Cook County, Illinois!!White alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Asian alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Two or More Races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!White alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Two or More Races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Mexican American Indian tribal grouping alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!White in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Black or African American in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Asian in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Three or more races with Some Other Race!!Estimate"
"        30 to 34 years","131,624","72,377","80,772","26,400","28,031","648","1,533","390","11,043","4,270","2,551","2,409","1,030","1,095","470","479","12,410","4,437","2,911","2,786","1,163","655","1,156","555","541","11,794","18,237","9,217","6,217","2,714","937","473","1,096","5,588","33,081","23,914","3,136","564","1,846","1,041","2,425","463","866","57,858","60,567","26,124","27,199","441","10,968","12,305","369","1,141","3,123","14,519","20,205","276","832","602","1,092","11,425","17,096","6,094","400","8,395","1,631","885","1,367","6,443","286"
"        35 to 39 years","106,840","56,610","63,419","21,091","22,023","730","1,414","480","8,826","3,272","1,774","1,717","832","794","527","437","9,917","3,382","1,986","1,916","1,156","440","896","542","469","12,005","17,698","7,515","5,536","1,690","332","257","751","5,180","31,330","22,696","3,081","587","1,728","960","2,401","612","1,238","43,189","44,751","20,818","21,534","528","8,731","9,694","608","1,020","1,992","13,421","18,668","273","489","558","886","11,397","16,678","5,523","298","6,809","932","684","1,091","5,693","289"
"        40 to 44 years","90,173","43,328","49,812","21,647","22,697","679","1,530","498","6,144","1,595","1,625","1,610","1,256","309","203","420","6,972","1,709","1,888","1,873","1,530","336","351","226","539","11,420","16,373","6,921","4,706","1,808","505","439","636","4,493","29,480","21,411","3,408","138","1,705","947","2,113","384","749","31,002","32,677","21,269","21,956","504","6,091","6,890","296","571","1,938","12,326","17,135","378","741","613","1,026","11,124","15,802","4,983","543","6,484","1,050","851","828","4,953","407"
"        45 to 49 years","81,497","37,449","43,527","19,892","20,594","391","1,069","255","5,928","1,170","1,582","1,555","1,237","492","252","507","6,461","1,231","1,849","1,822","1,509","190","548","252","572","11,149","16,656","6,654","5,350","1,028","360","289","225","4,984","27,015","20,983","2,870","132","964","651","1,483","343","815","27,477","28,380","19,646","20,108","371","5,868","6,235","271","491","1,124","9,972","15,147","246","486","321","698","10,878","16,165","5,530","345","6,078","702","678","533","5,507","276"
"        50 to 54 years","81,675","38,669","43,944","22,638","23,242","408","865","246","4,614","868","1,769","1,751","944","127","214","247","4,897","920","1,849","1,831","994","162","139","231","255","9,644","14,501","5,651","4,755","722","272","188","240","4,408","24,320","17,964","2,707","273","1,056","595","1,608","287","685","29,191","29,949","22,422","22,791","229","4,557","4,814","236","490","890","9,478","13,995","216","451","390","636","9,408","14,011","4,761","381","5,275","604","457","283","4,857","174"
"        55 to 59 years","79,736","37,191","41,521","24,446","24,934","549","1,060","350","4,476","501","1,917","1,874","838","285","367","273","4,939","508","1,977","1,934","889","314","304","367","273","8,173","12,268","4,901","4,003","715","56","188","218","3,685","20,841","14,616","2,787","224","1,104","387","1,316","245","710","29,048","29,546","24,311","24,624","311","4,476","4,910","164","297","791","8,143","11,975","135","310","444","749","8,009","11,971","4,110","222","4,330","488","511","463","4,095","183"
"        60 and 61 years","29,443","14,220","15,471","9,814","9,964","145","341","80","1,229","193","432","432","272","111","46","32","1,251","203","432","432","277","31","111","46","32","2,521","3,941","1,514","1,348","94","19","27","17","1,116","6,991","4,490","1,374","84","409","172","405","114","173","11,121","11,233","9,700","9,819","63","1,229","1,251","143","298","249","3,099","4,238","114","145","135","278","2,378","3,643","1,265","101","1,251","150","196","22","1,420","72"
"        62 to 64 years","40,348","19,255","21,350","13,247","13,460","202","470","180","2,257","295","916","916","602","88","40","156","2,424","324","957","957","740","156","109","40","187","3,169","4,919","2,218","1,702","416","109","167","116","1,643","9,123","6,395","1,431","47","501","317","506","98","239","15,377","15,726","13,125","13,296","129","2,246","2,397","34","86","410","3,878","5,624","122","164","169","341","3,135","4,833","1,808","124","2,095","213","268","167","1,750","100"
"        65 and 66 years","23,909","10,900","11,588","8,029","8,142","68","172","45","1,758","203","689","689","492","42","70","73","1,768","211","707","707","510","33","42","78","73","2,389","3,050","758","635","61","24","2","4","594","5,144","3,639","811","104","230","157","245","36","127","8,965","9,010","7,942","8,003","30","1,746","1,756","22","42","74","1,935","2,578","87","139","59","142","2,367","3,008","684","51","688","113","104","10","661","62"
"        67 to 69 years","29,230","14,887","15,911","8,837","9,001","82","221","87","1,948","63","778","778","297","116","168","169","2,040","63","784","784","332","95","121","168","169","2,363","3,186","1,113","803","290","95","96","59","758","5,601","3,732","1,071","118","326","210","216","45","117","12,430","12,715","8,794","8,950","111","1,925","2,017","104","210","366","2,457","3,196","43","51","72","110","2,259","2,976","747","65","1,024","164","139","92","823","20"
"        70 to 74 years","40,578","20,565","22,116","12,107","12,302","171","317","98","2,596","373","989","942","672","44","145","153","2,740","406","996","949","679","131","58","145","153","3,357","4,905","1,772","1,524","185","8","73","74","1,333","9,414","6,950","1,448","79","298","232","504","168","77","16,027","16,277","12,074","12,177","130","2,589","2,702","101","252","331","4,538","5,839","33","125","139","187","3,256","4,653","1,441","130","1,551","195","146","144","1,548","63"
"        75 to 79 years","25,983","13,131","14,769","8,231","8,261","30","144","91","1,802","170","718","716","406","100","111","118","2,000","179","778","776","510","111","112","111","118","1,090","2,531","1,699","1,431","245","0","74","154","1,387","6,060","4,913","647","88","147","147","205","125","74","9,637","9,870","8,182","8,199","83","1,787","1,976","23","89","294","3,494","4,899","49","62","30","61","1,067","2,442","1,405","40","1,638","30","114","198","1,441","23"
"        80 to 84 years","14,674","6,709","7,371","5,351","5,413","103","173","19","998","163","315","315","202","164","54","15","1,097","163","398","398","283","24","164","54","39","815","1,317","691","502","176","20","48","99","482","2,589","1,763","493","46","96","18","110","54","40","5,525","5,722","5,340","5,382","84","980","1,079","20","37","206","1,184","1,649","11","31","89","89","795","1,280","485","67","662","62","70","99","502","13"
"        85 years and over","13,118","6,570","7,318","4,293","4,410","15","40","31","773","70","318","318","225","102","0","23","854","70","377","377","286","50","102","0","23","704","1,360","763","544","107","1","21","79","535","2,273","1,430","404","69","65","54","168","51","40","5,632","5,769","4,293","4,298","25","773","854","4","40","143","938","1,549","0","112","15","15","700","1,320","620","0","748","117","25","81","656","112"
"    Female:","1,404,160","620,130","711,837","436,703","456,059","6,084","16,090","6,704","98,230","19,861","32,486","31,557","16,971","7,500","3,992","5,362","113,837","22,176","36,567","35,434","21,437","4,962","8,962","4,384","6,432","141,888","211,007","100,585","65,893","29,144","10,390","3,917","11,282","60,563","386,802","283,342","48,678","3,755","17,782","9,164","23,326","5,983","10,024","453,378","480,439","430,226","443,593","5,841","96,838","110,501","4,392","9,403","31,492","166,752","231,398","6,477","12,466","5,284","10,249","137,496","201,604","69,093","4,253","91,707","19,356","10,006","15,607","69,119","5,548"
"        Under 5 years","80,576","32,327","41,281","24,593","27,121","256","687","309","4,905","1,684","1,057","989","406","210","314","414","7,231","2,119","1,645","1,552","1,047","200","515","376","524","8,679","14,571","9,804","5,509","3,748","1,519","150","1,860","4,878","27,615","21,635","2,438","208","896","393","1,528","508","743","19,739","23,437","24,037","25,535","193","4,730","6,818","501","977","3,881","12,588","17,844","556","1,586","183","494","8,178","13,594","5,923","171","8,954","2,528","431","2,326","5,892","547"
"        5 to 9 years","72,555","28,034","35,291","22,633","24,455","396","863","325","3,893","1,190","1,004","1,004","567","42","383","124","5,637","1,468","1,568","1,466","1,054","361","270","427","135","9,694","14,730","7,864","4,605","2,658","984","162","1,359","4,111","28,281","20,835","3,441","135","1,304","475","1,772","317","999","15,474","18,107","21,953","22,965","274","3,775","5,289","203","571","2,800","12,560","17,184","680","1,490","327","589","9,491","14,159","5,064","354","7,257","1,822","467","1,744","5,036","601"
"        10 to 14 years","79,050","27,319","35,550","27,309","28,967","546","1,308","445","3,480","547","1,383","1,383","546","96","150","170","4,555","815","1,714","1,693","891","179","212","174","261","11,460","18,004","8,897","6,273","2,197","1,098","237","734","5,726","33,343","26,120","3,314","269","1,170","746","1,722","335","1,078","13,355","15,301","26,624","27,489","359","3,358","4,199","167","574","2,154","13,964","20,249","685","1,478","512","949","11,293","17,430","6,743","515","8,231","1,658","762","1,075","6,544","427"
"        15 to 17 years","44,515","15,749","19,087","15,776","16,667","356","713","271","1,969","436","684","681","206","64","132","231","2,387","476","765","741","326","133","90","132","231","7,001","9,543","3,625","2,339","975","440","53","320","2,218","18,591","14,628","2,110","41","558","368","941","263","370","7,414","8,118","15,570","16,012","93","1,906","2,286","176","250","832","8,335","10,969","206","655","330","620","6,825","9,293","2,793","285","3,338","891","357","418","2,542","311"
"        18 and 19 years","33,312","13,932","16,643","9,570","10,090","201","392","176","2,167","344","1,035","1,035","163","106","120","163","2,847","359","1,087","1,087","299","406","131","120","189","4,514","6,390","2,904","1,795","938","260","70","534","1,682","11,808","9,637","924","40","492","338","496","154","206","8,968","9,762","9,427","9,781","125","2,152","2,769","12","88","892","4,964","6,881","143","309","148","267","4,502","6,302","2,012","71","2,711","520","191","680","1,876","171"
"        20 years","17,167","6,254","7,647","5,484","5,866","29","223","93","1,265","247","509","490","137","89","37","52","1,523","269","608","595","184","20","100","112","70","2,432","3,547","1,667","1,107","552","247","65","122","951","6,672","5,382","682","0","359","207","142","35","80","3,329","3,750","5,354","5,693","57","1,227","1,415","72","93","513","2,925","3,897","130","173","29","166","2,360","3,454","1,154","38","1,393","382","194","258","1,115","8"
"        21 years","18,174","6,889","8,227","6,201","6,454","95","321","216","1,354","168","759","749","120","125","53","88","1,509","195","784","774","170","30","148","53","88","2,200","3,161","1,426","896","432","148","121","138","850","5,772","4,252","738","85","197","94","308","101","15","4,504","4,922","6,046","6,235","161","1,307","1,436","69","107","443","2,385","3,305","155","219","62","160","2,131","3,054","983","52","1,338","253","226","155","961","98"
"        22 to 24 years","67,027","31,358","35,951","17,321","18,267","223","870","380","5,296","841","2,164","2,128","641","543","272","308","6,279","1,069","2,331","2,287","882","197","600","291","368","7,820","10,896","5,009","2,920","1,745","548","317","667","2,717","19,240","14,452","2,050","206","1,190","350","910","150","369","23,629","25,116","16,947","17,682","273","5,227","6,150","181","376","1,780","7,729","10,835","374","585","200","597","7,639","10,520","3,229","191","4,593","946","647","983","3,076","344"
"        25 to 29 years","143,076","74,422","83,328","35,453","37,457","388","1,279","705","11,663","3,559","3,889","3,622","1,011","930","359","623","13,674","3,764","4,436","4,144","1,382","646","1,127","422","969","11,501","17,255","9,611","5,463","3,614","1,194","436","1,593","5,120","33,997","24,951","3,646","316","1,700","776","2,315","672","864","58,801","62,131","34,684","36,121","562","11,493","13,231","316","758","3,705","15,621","21,197","769","1,336","346","717","11,185","16,497","5,906","247","8,906","2,004","891","2,011","5,754","534"
"        30 to 34 years","129,643","68,414","76,219","29,712","31,466","637","1,460","699","11,613","3,398","3,136","3,040","1,335","1,190","468","426","13,435","3,555","3,673","3,577","1,929","537","1,331","494","445","10,623","15,995","8,617","5,174","3,047","1,096","362","1,288","4,659","29,757","21,452","3,821","376","1,016","535","2,123","501","635","55,429","58,284","29,103","30,497","490","11,406","13,074","491","1,064","3,386","12,985","17,935","609","969","566","970","10,132","14,931","5,231","367","7,805","1,754","823","1,822","5,372","396"
"        35 to 39 years","104,860","50,830","57,545","27,223","28,299","526","1,333","594","8,921","2,733","2,469","2,365","972","690","394","490","9,878","2,819","2,674","2,570","1,373","337","764","443","516","10,076","15,140","7,213","4,907","2,021","549","446","792","4,598","27,872","20,265","3,281","331","1,426","703","2,036","383","895","38,744","40,671","26,661","27,525","546","8,897","9,794","299","732","2,277","12,086","16,874","562","774","464","787","9,777","14,408","4,936","303","6,715","1,076","807","957","5,064","285"
"        40 to 44 years","89,905","37,940","43,332","26,790","27,697","476","1,257","341","7,306","1,323","2,283","2,187","1,556","572","253","347","8,330","1,413","2,442","2,338","2,057","250","678","268","430","11,284","15,615","6,052","4,151","1,525","290","195","806","3,752","27,636","20,591","3,002","379","1,026","655","1,964","463","1,102","26,566","28,112","26,305","26,871","383","7,194","8,031","297","772","1,816","11,374","15,220","485","826","411","874","10,987","14,843","4,236","376","5,392","907","781","1,024","4,331","376"
"        45 to 49 years","83,137","34,488","40,004","26,425","27,404","403","975","293","6,060","975","2,006","1,999","1,336","484","254","367","6,549","983","2,245","2,238","1,421","351","556","254","416","9,697","14,465","6,024","4,577","1,133","432","205","278","4,309","24,439","17,546","3,570","187","1,365","595","1,304","378","610","25,074","26,083","26,087","26,748","284","6,000","6,436","293","459","1,229","9,414","13,921","338","656","403","691","9,404","14,006","4,795","256","5,516","979","572","489","4,768","314"
