"Label (Grouping)","Baltimore-Columbia-Towson, MD Metro Area!!Total population!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian tribal grouping alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian Indian alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Bangladeshi alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese, except Taiwanese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Taiwanese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Filipino alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Japanese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Korean alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Pakistani alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Thai alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Vietnamese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian Indian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Bangladeshi alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cambodian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese, except Taiwanese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Taiwanese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Filipino alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Japanese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Korean alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Pakistani alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Thai alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Vietnamese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Polynesian alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Polynesian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Micronesian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Guamanian or Chamorro alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Burmese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Nepalese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Burmese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Nepalese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two or More Races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two races with Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two races without Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; American Indian and Alaska Native!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Asian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American; American Indian and Alaska Native!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American; Asian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American; American Indian and Alaska Native!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American; Asian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; American Indian and Alaska Native; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Asian; Native Hawaiian and Other Pacific Islander!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Central American Indian tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Choctaw tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Lumbee Indian tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cherokee tribal grouping alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cherokee tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Hispanic or Latino (of any race)!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Mexican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Puerto Rican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cuban!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Dominican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Central American!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Costa Rican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Guatemalan!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Honduran!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Nicaraguan!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Panamanian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Salvadoran!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!South American!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Argentinean!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Bolivian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chilean!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Colombian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Ecuadorian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Peruvian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Venezuelan!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Spaniard!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two or More Races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two or More Races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Three or more races with Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Three or more races without Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chamorro alone or in any combination!!Estimate"
"        55 to 59 years","94,091","62,222","64,160","24,105","24,622","131","107","534","378","4,489","1,091","112","925","864","61","585","35","823","314","4","327","4,954","1,162","112","10","1,004","943","61","635","233","840","336","4","331","32","16","99","48","35","36","20","856","2,113","40","112","40","112","2,256","1,232","889","259","176","240","1,108","70","55","55","69","78","0","0","25","32","35","16","5","5","56","140","2,855","701","441","267","191","400","20","71","0","13","42","254","508","65","49","18","205","57","114","0","112","60,969","62,087","24,040","24,488","110","454","4,468","4,913","32","99","256","652","1,361","1,253","2,073","65","134","21","80","41","0","600","1,461","895","1,938","517","403","465","67","1,257","135","110","20"
"        60 and 61 years","39,362","25,978","26,783","9,906","10,364","215","78","580","388","1,731","438","0","331","322","9","117","87","419","163","0","64","1,888","460","0","0","337","328","9","127","166","419","174","0","64","0","0","7","0","0","0","0","378","915","0","12","0","12","1,154","525","608","124","134","146","389","204","0","120","2","0","0","1","11","0","7","9","17","23","28","179","1,409","260","275","125","24","421","0","116","24","0","28","253","217","28","9","0","39","0","141","0","34","25,283","25,894","9,818","10,159","113","451","1,731","1,888","0","7","159","412","849","695","889","88","205","102","129","0","0","219","503","305","805","458","365","157","7","537","21","9","0"
"        62 to 64 years","51,311","35,175","35,960","12,779","13,004","208","154","559","365","1,904","425","3","385","341","44","333","30","304","163","69","73","2,063","459","11","9","401","357","44","377","49","314","163","69","73","37","0","89","14","14","37","37","303","681","12","59","12","59","905","362","435","35","187","100","341","76","15","11","0","72","0","0","0","20","43","145","0","14","38","198","1,476","185","309","129","39","391","32","85","89","0","12","173","259","197","0","0","16","0","29","17","75","34,266","34,879","12,744","12,926","150","442","1,904","2,063","0","42","48","303","723","909","1,081","35","78","58","117","0","47","255","378","182","785","225","351","159","52","378","108","92","37"
"        65 and 66 years","29,535","19,952","20,312","7,063","7,237","222","222","436","390","1,532","407","38","274","264","10","100","163","233","122","0","57","1,572","407","38","0","337","327","10","100","175","233","122","0","120","0","0","0","0","0","0","0","273","532","21","0","21","0","493","259","173","0","93","8","198","60","12","41","20","61","0","0","0","0","0","7","0","6","52","124","531","100","173","31","0","39","0","0","0","0","20","19","110","7","20","0","26","0","0","6","15","19,758","19,970","6,987","7,138","222","413","1,532","1,572","0","0","160","294","345","194","342","76","99","0","23","0","0","113","238","148","360","174","214","40","0","259","61","61","0"
"        67 to 69 years","38,370","26,818","27,413","8,423","8,701","57","39","201","107","1,897","495","8","682","659","23","150","1","250","79","43","95","2,095","495","8","0","682","659","23","166","54","250","79","43","95","0","0","40","0","0","16","0","416","704","18","76","18","76","759","278","456","130","66","167","223","68","0","55","0","0","0","0","0","0","10","11","0","10","0","29","849","106","201","130","45","79","5","0","74","0","0","0","141","14","67","0","5","7","48","0","0","26,491","26,917","8,314","8,535","57","184","1,897","2,078","0","31","229","324","533","327","496","109","166","0","17","17","9","187","380","226","595","278","144","198","40","288","25","15","0"
"        70 to 74 years","53,224","39,275","39,937","10,946","11,132","106","62","395","327","1,575","373","8","354","343","11","228","35","215","117","20","103","1,713","482","8","0","372","361","11","273","35","215","119","20","103","15","15","30","15","0","6","6","478","945","33","0","33","0","829","450","289","62","102","13","425","66","0","1","24","12","0","0","17","0","0","18","0","55","0","106","958","56","131","83","1","112","0","0","0","0","1","111","334","37","12","24","29","172","49","11","72","38,793","39,153","10,892","11,041","97","333","1,575","1,677","15","30","404","568","490","482","784","54","91","9","62","36","0","74","377","339","662","186","289","138","15","467","90","73","6"
"        75 to 79 years","32,345","23,493","23,757","6,518","6,609","55","35","196","105","1,730","564","0","279","264","15","164","0","370","133","33","104","1,762","591","0","0","279","264","15","166","3","370","133","33","104","0","0","2","0","0","2","2","192","376","59","24","59","24","357","184","173","0","92","30","142","49","0","42","0","0","0","0","0","0","0","15","0","13","0","28","569","187","25","54","57","53","0","17","9","0","14","0","73","0","0","0","39","9","16","9","59","23,205","23,395","6,462","6,553","44","185","1,708","1,740","0","2","74","184","283","288","362","56","56","11","11","22","0","118","192","74","264","91","141","32","2","184","0","0","2"
"        80 to 84 years","20,182","15,192","15,355","3,943","4,051","76","30","118","30","722","280","0","91","82","9","81","22","175","49","0","24","742","300","0","0","91","82","9","81","22","175","49","0","24","0","0","15","0","0","0","0","40","121","0","0","0","0","209","81","117","71","0","0","81","11","0","0","0","11","0","0","0","0","0","0","0","5","0","0","209","0","96","0","24","0","0","0","0","0","0","0","64","24","0","0","3","14","23","0","25","15,046","15,181","3,943","4,051","76","118","722","742","0","15","5","58","181","146","174","0","0","0","0","0","0","35","63","28","163","108","42","20","15","81","11","11","0"
"        85 years and over","18,176","14,008","14,156","3,127","3,159","21","21","59","57","713","125","0","124","124","0","247","42","115","15","16","16","749","126","0","0","124","124","0","274","42","115","15","16","16","0","0","28","0","0","0","0","123","232","13","0","13","0","184","109","52","8","16","0","101","0","1","0","8","22","0","0","0","0","2","0","0","5","0","10","420","0","74","74","40","0","0","0","0","0","0","0","30","0","30","0","0","0","0","0","164","13,792","13,891","3,096","3,128","21","59","713","741","0","28","7","59","127","216","265","31","31","0","0","8","0","116","173","57","148","32","38","36","28","109","23","23","0"
"    Female:","1,463,117","828,794","888,988","442,748","476,186","3,810","2,101","16,699","10,438","84,274","22,126","998","16,073","15,112","935","10,885","1,319","13,104","5,826","1,096","3,899","104,454","24,473","1,143","566","19,662","18,584","1,104","17,190","4,395","16,001","6,294","1,504","5,008","900","424","2,817","1,359","1,116","411","354","32,977","52,646","1,642","2,768","1,642","2,867","69,614","17,287","44,138","19,514","5,295","13,091","14,344","2,645","2,277","2,112","543","2,383","1,915","803","759","485","924","909","335","832","428","3,577","85,090","18,141","14,182","3,541","4,653","26,273","591","5,229","4,325","744","1,717","13,633","11,515","1,007","516","524","3,258","1,690","3,006","1,099","1,984","796,752","841,587","436,517","465,319","2,224","12,188","83,810","103,064","545","2,273","5,836","11,658","52,343","32,042","47,401","6,231","10,867","1,586","4,511","1,390","544","27,141","40,988","17,271","60,194","33,438","12,889","20,180","1,917","19,669","8,189","5,807","354"
"        Under 5 years","81,486","39,624","47,890","25,318","30,042","227","122","1,028","682","4,015","1,305","62","554","474","80","284","57","385","517","14","146","7,221","1,586","77","67","1,289","1,173","116","1,235","385","1,016","600","77","266","45","37","250","195","173","5","5","3,349","5,017","171","208","171","219","8,908","1,235","6,659","3,432","342","2,456","1,022","148","199","161","42","136","303","263","115","101","0","68","37","66","14","193","9,532","1,948","1,587","491","548","3,383","82","496","636","45","144","1,980","1,008","18","17","154","144","103","441","87","89","36,135","42,535","24,474","28,187","76","540","3,962","7,081","8","206","495","755","6,804","3,489","5,355","844","1,855","151","488","140","44","2,854","4,262","2,104","8,266","4,724","801","3,206","205","1,668","1,014","581","5"
"        5 to 9 years","85,243","41,642","48,869","26,511","31,369","314","155","1,148","868","4,958","1,630","93","742","742","0","261","12","651","656","0","143","7,342","1,819","111","16","1,208","1,195","13","1,050","362","959","730","45","335","163","79","381","231","215","51","51","3,674","5,314","220","191","220","203","7,981","1,434","5,450","3,294","179","1,452","1,203","198","261","215","16","235","368","99","86","130","31","51","35","89","17","210","8,671","1,976","1,312","194","512","2,660","50","534","519","4","84","1,469","901","57","20","57","233","268","177","89","251","38,665","44,381","25,808","30,149","138","813","4,958","7,324","56","252","605","965","6,342","2,977","4,488","703","1,220","176","335","18","129","3,069","4,349","1,639","7,227","4,858","834","2,384","218","1,640","1,097","891","51"
"        10 to 14 years","87,444","41,735","48,549","28,675","32,270","325","196","1,387","776","5,479","1,573","34","794","760","34","564","0","724","582","16","227","7,940","1,849","34","75","1,250","1,193","57","1,237","305","1,213","690","80","410","43","43","183","78","68","0","0","3,636","5,419","223","198","223","219","7,551","1,637","5,173","2,447","449","1,831","1,384","150","189","150","72","260","199","44","69","16","98","92","47","90","33","355","8,397","2,271","1,384","251","244","2,820","15","777","322","122","219","1,365","869","74","23","0","221","326","135","89","229","39,030","44,347","27,916","31,184","175","881","5,422","7,824","10","150","599","1,072","5,895","2,705","4,202","759","1,086","150","506","116","33","3,037","4,347","1,656","6,814","3,595","1,062","2,461","140","1,783","741","595","0"
"        15 to 17 years","52,422","26,937","30,090","16,773","18,818","217","159","699","459","3,296","743","19","660","583","77","538","6","543","241","14","168","4,382","873","19","12","919","842","77","969","199","715","241","28","253","38","29","156","74","71","9","9","1,566","2,375","107","87","107","87","3,595","696","2,396","1,302","238","601","500","60","146","138","8","116","224","16","37","32","82","28","0","125","0","61","4,116","963","609","60","161","1,560","36","193","210","76","99","946","560","14","15","0","194","238","82","17","57","25,177","27,657","16,613","18,426","126","499","3,279","4,203","9","93","294","539","2,808","1,760","2,433","160","392","91","200","179","63","1,272","1,836","787","3,153","2,045","482","1,086","118","809","503","390","9"
"        18 and 19 years","35,356","18,498","20,856","11,465","12,733","51","11","569","332","1,811","335","1","504","486","18","170","43","347","143","3","91","3,038","428","14","58","715","668","47","594","168","531","156","35","209","8","0","8","0","0","8","8","804","1,289","0","65","0","65","2,719","442","1,982","815","146","817","327","37","101","92","0","30","20","8","14","0","36","19","24","6","0","190","2,617","749","376","143","310","669","48","25","73","41","78","404","202","71","10","0","16","26","79","0","43","17,249","19,228","11,222","12,330","40","490","1,811","2,972","8","8","184","289","2,225","1,249","1,628","243","403","11","79","66","0","620","1,000","494","2,358","1,268","518","1,227","0","485","295","252","8"
"        20 years","16,181","8,214","9,171","5,568","6,129","75","30","257","119","914","145","67","101","101","0","111","8","159","48","39","63","1,302","183","67","0","179","179","0","243","87","262","56","50","72","8","0","18","0","0","8","8","252","551","50","22","50","33","1,150","239","814","374","110","218","158","28","74","32","49","0","37","16","44","0","0","0","0","0","0","60","1,075","263","201","22","23","322","10","118","0","0","25","169","118","11","55","0","36","0","8","0","41","7,740","8,476","5,497","6,026","30","135","892","1,280","8","18","42","121","897","474","695","71","103","45","122","22","0","210","430","253","957","561","182","388","10","299","97","37","8"
"        21 years","17,709","9,104","10,002","6,204","6,707","30","30","267","192","1,015","265","51","124","124","0","75","32","85","211","0","88","1,243","278","54","4","149","149","0","232","88","96","211","0","119","0","0","17","2","2","0","0","390","605","10","36","10","36","966","179","621","352","49","160","179","17","0","0","0","105","0","21","15","17","2","14","0","0","0","15","1,282","360","180","35","41","269","35","61","53","18","0","102","239","9","0","12","49","10","143","0","83","8,450","9,127","6,144","6,604","30","236","1,015","1,235","0","17","59","59","729","654","875","60","103","0","31","8","0","331","546","237","898","503","237","228","17","215","166","130","0"
"        22 to 24 years","51,031","27,650","29,766","16,727","18,019","249","51","613","341","3,045","813","100","735","684","51","264","0","279","227","105","209","3,658","908","100","19","835","784","51","510","105","391","269","105","281","19","0","114","69","60","24","24","994","1,601","36","72","36","72","2,347","496","1,532","819","147","363","408","97","42","88","0","88","68","6","3","22","17","42","15","6","22","183","3,540","805","556","99","356","1,001","12","98","254","3","62","572","532","11","74","5","215","84","119","24","19","26,121","27,730","16,417","17,469","75","382","2,961","3,455","19","111","125","348","1,773","1,529","2,036","310","550","174","231","203","3","869","1,253","574","2,116","1,292","364","613","95","607","319","208","24"
"        25 to 29 years","99,598","52,840","57,484","32,803","35,354","202","40","1,089","754","5,900","1,817","13","1,211","1,153","58","411","45","951","271","130","413","7,305","2,001","13","71","1,484","1,395","89","761","220","1,187","271","137","438","65","0","235","111","68","57","40","2,457","3,946","83","235","83","235","5,331","1,343","3,515","1,643","442","1,031","1,094","206","91","189","60","131","77","89","43","68","14","47","52","85","20","209","6,425","1,129","865","131","528","2,415","4","622","664","28","80","1,017","1,122","76","14","70","613","132","160","52","38","50,316","53,986","32,486","34,796","38","790","5,881","7,205","17","187","262","743","4,173","2,524","3,498","317","558","164","299","100","48","2,195","3,203","1,158","4,644","2,551","887","1,405","170","1,489","473","327","40"
"        30 to 34 years","105,437","56,832","61,012","33,273","35,428","324","163","944","493","7,281","2,439","43","1,011","887","106","684","39","1,112","437","33","300","8,723","2,625","43","52","1,181","1,075","124","1,118","261","1,413","462","59","322","75","12","257","116","113","42","28","2,831","4,370","230","566","230","585","4,821","1,307","3,088","1,376","282","1,047","1,090","70","188","167","50","100","77","41","59","0","114","30","5","26","50","167","6,923","1,514","1,134","261","217","2,502","5","594","458","62","125","1,248","785","39","27","53","210","44","153","153","143","54,466","57,489","32,619","34,497","198","613","7,238","8,632","37","172","443","787","3,513","2,366","3,523","654","931","126","331","91","85","2,388","3,583","1,308","4,180","2,155","620","1,442","182","1,539","426","194","28"
"        35 to 39 years","100,635","54,162","57,769","31,071","32,831","263","135","1,196","686","7,855","2,179","171","1,629","1,602","27","742","39","945","640","245","296","9,215","2,418","193","89","1,761","1,734","27","1,040","293","1,057","682","297","326","66","66","152","86","36","8","8","3,060","4,245","173","349","173","374","4,158","1,075","2,499","922","410","826","880","143","100","134","49","208","203","0","52","36","89","80","56","17","0","248","7,620","1,849","1,184","200","331","2,705","92","526","415","30","83","1,559","896","122","13","5","213","186","195","116","36","51,125","53,723","30,506","31,979","123","832","7,840","9,200","43","117","334","655","3,044","3,037","4,046","565","852","140","364","15","35","2,726","3,590","1,114","3,607","1,760","933","1,360","86","1,185","584","474","8"
"        40 to 44 years","89,785","46,361","49,839","29,216","31,085","198","110","1,067","594","7,207","2,124","46","1,367","1,255","112","1,185","152","1,022","261","89","171","8,281","2,349","90","0","1,526","1,414","112","1,724","472","1,083","284","144","280","56","20","194","70","70","42","30","2,624","4,309","148","190","148","190","4,123","1,436","2,006","716","353","613","1,123","133","155","269","8","141","157","85","29","53","156","48","18","95","30","170","5,893","1,204","974","132","270","2,015","47","377","174","95","93","1,219","886","146","73","19","104","76","207","209","172","44,459","46,626","28,925","30,346","130","774","7,207","8,097","56","169","380","947","2,735","1,902","3,213","291","739","68","293","184","25","2,244","3,362","1,388","3,478","1,869","869","1,074","138","1,685","681","432","30"
"        45 to 49 years","90,738","50,153","52,477","28,298","29,665","162","91","1,001","608","6,881","1,607","146","1,219","1,151","68","1,370","95","1,180","318","83","320","7,778","1,736","176","20","1,374","1,298","76","1,686","217","1,307","327","103","365","64","1","147","39","1","69","69","2,094","3,235","42","187","42","187","3,086","1,069","1,573","415","246","381","839","168","305","71","69","270","70","29","21","0","78","88","15","26","25","187","5,073","1,003","1,132","240","200","1,329","76","349","137","29","47","677","748","51","48","27","172","76","234","60","158","48,362","49,837","28,075","29,227","81","643","6,835","7,722","64","126","164","466","2,084","1,791","2,640","223","438","81","358","56","21","1,930","2,769","1,002","2,324","1,367","839","897","83","1,141","444","372","69"
"        50 to 54 years","98,768","58,617","61,074","29,425","30,807","280","124","1,227","650","5,729","1,346","52","1,261","1,217","44","1,119","92","814","309","65","312","6,465","1,424","52","22","1,410","1,366","44","1,440","234","839","309","76","322","91","91","183","110","91","0","0","1,409","2,677","6","115","6","115","3,217","1,115","1,725","474","407","283","1,002","223","246","111","2","70","73","0","50","0","124","9","0","61","41","295","4,016","696","723","252","199","1,160","19","297","269","44","77","454","661","55","79","0","247","55","153","32","140","56,976","58,774","29,144","30,338","206","925","5,695","6,423","91","183","270","774","2,370","1,641","2,300","281","469","74","302","42","0","1,139","1,903","847","2,457","1,382","947","736","92","1,268","377","224","0"
"        55 to 59 years","103,364","64,635","67,394","29,345","30,484","242","157","1,149","694","4,846","1,016","34","1,054","942","106","795","68","1,044","232","149","277","5,623","1,096","34","0","1,090","984","112","922","142","1,058","273","149","277","50","0","137","43","43","35","35","905","2,299","19","77","19","77","3,341","1,263","1,747","456","333","549","1,133","271","72","63","52","143","0","43","52","0","73","67","31","57","52","214","3,057","501","647","257","187","494","0","60","0","75","271","88","647","14","10","37","368","32","179","7","195","63,664","65,471","29,038","30,070","203","955","4,828","5,594","35","122","233","694","2,306","971","1,923","307","414","39","194","29","15","672","1,605","1,035","2,759","1,139","907","777","87","1,394","331","200","35"
"        60 and 61 years","41,457","25,929","26,687","12,476","12,790","44","33","346","257","1,695","357","8","412","368","44","255","64","278","97","0","123","1,864","357","8","11","430","386","44","263","109","278","97","0","123","0","0","68","10","10","0","0","401","655","0","62","0","62","912","240","631","151","207","137","222","78","0","10","8","17","0","0","0","10","0","11","0","3","0","73","945","186","176","46","93","188","0","10","5","20","71","82","182","47","0","28","43","0","41","23","37","25,336","26,004","12,460","12,756","44","329","1,695","1,850","0","68","156","336","821","593","683","16","34","0","17","14","0","245","319","91","758","314","302","169","68","254","41","27","0"
