"Label (Grouping)","San Francisco County, California!!Total population!!Estimate","San Francisco County, California!!White alone!!Estimate","San Francisco County, California!!White alone or in combination with one or more other races!!Estimate","San Francisco County, California!!Black or African American alone!!Estimate","San Francisco County, California!!Black or African American alone or in combination with one or more other races!!Estimate","San Francisco County, California!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","San Francisco County, California!!American Indian tribal grouping alone or in any combination!!Estimate","San Francisco County, California!!Asian alone!!Estimate","San Francisco County, California!!Asian Indian alone!!Estimate","San Francisco County, California!!Chinese alone!!Estimate","San Francisco County, California!!Chinese, except Taiwanese alone!!Estimate","San Francisco County, California!!Filipino alone!!Estimate","San Francisco County, California!!Japanese alone!!Estimate","San Francisco County, California!!Korean alone!!Estimate","San Francisco County, California!!Vietnamese alone!!Estimate","San Francisco County, California!!Asian alone or in combination with one or more other races!!Estimate","San Francisco County, California!!Asian Indian alone or in any combination!!Estimate","San Francisco County, California!!Chinese alone or in any combination!!Estimate","San Francisco County, California!!Chinese, except Taiwanese alone or in any combination!!Estimate","San Francisco County, California!!Filipino alone or in any combination!!Estimate","San Francisco County, California!!Japanese alone or in any combination!!Estimate","San Francisco County, California!!Korean alone or in any combination!!Estimate","San Francisco County, California!!Vietnamese alone or in any combination!!Estimate","San Francisco County, California!!Some Other Race alone!!Estimate","San Francisco County, California!!Some Other Race alone or in combination with one or more other races!!Estimate","San Francisco County, California!!Two or More Races !!Estimate","San Francisco County, California!!Two races with Some Other Race!!Estimate","San Francisco County, California!!Two races without Some Other Race!!Estimate","San Francisco County, California!!White; Asian!!Estimate","San Francisco County, California!!White; Some Other Race!!Estimate","San Francisco County, California!!Hispanic or Latino (of any race)!!Estimate","San Francisco County, California!!Mexican!!Estimate","San Francisco County, California!!Central American!!Estimate","San Francisco County, California!!Nicaraguan!!Estimate","San Francisco County, California!!Salvadoran!!Estimate","San Francisco County, California!!South American!!Estimate","San Francisco County, California!!White alone, not Hispanic or Latino!!Estimate","San Francisco County, California!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Black or African American alone, not Hispanic or Latino!!Estimate","San Francisco County, California!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Asian alone, not Hispanic or Latino!!Estimate","San Francisco County, California!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Two or More Races, not Hispanic or Latino!!Estimate","San Francisco County, California!!White alone, Hispanic or Latino!!Estimate","San Francisco County, California!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","San Francisco County, California!!Some Other Race alone, Hispanic or Latino!!Estimate","San Francisco County, California!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","San Francisco County, California!!Two or More Races, Hispanic or Latino!!Estimate","San Francisco County, California!!White in combination with one or more other races!!Estimate","San Francisco County, California!!Black or African American in combination with one or more other races!!Estimate","San Francisco County, California!!American Indian and Alaska Native in combination with one or more other races!!Estimate","San Francisco County, California!!Asian in combination with one or more other races!!Estimate","San Francisco County, California!!Some Other Race in combination with one or more other races!!Estimate"
"        25 to 29 years","48,314","23,690","26,407","2,456","2,933","474","215","14,646","2,873","7,693","7,422","1,406","172","376","1,093","16,379","2,889","8,802","8,450","2,029","772","519","1,406","4,022","5,261","3,229","1,170","1,914","1,295","855","7,310","3,989","1,601","269","746","685","21,453","23,245","2,331","2,764","14,591","16,131","574","2,039","2,237","3,162","3,593","4,687","1,190","2,717","477","310","1,733","1,239"
"        30 to 34 years","53,429","28,353","32,278","2,421","2,893","705","468","14,453","2,945","7,482","7,259","1,429","266","554","778","16,396","3,261","8,533","8,338","1,902","682","661","1,024","3,559","5,592","4,367","1,864","2,077","1,423","1,614","8,153","4,378","1,719","313","709","753","25,759","28,028","2,152","2,537","14,274","15,904","769","2,491","2,594","4,250","3,136","4,823","1,876","3,925","472","527","1,943","2,033"
"        35 to 39 years","43,375","22,874","25,959","1,674","2,526","485","277","11,458","1,351","5,817","5,463","1,581","217","929","483","13,016","1,641","6,610","6,287","1,979","627","1,148","716","3,274","4,910","3,723","1,588","2,015","910","1,352","6,997","3,778","1,427","353","712","768","20,927","22,613","1,647","2,455","11,318","12,744","437","2,218","1,947","3,346","3,160","4,473","1,505","3,085","852","279","1,558","1,636"
"        40 to 44 years","31,001","15,185","17,632","1,419","1,769","668","329","8,158","963","4,324","4,276","1,021","355","419","450","9,180","1,013","4,848","4,800","1,173","703","510","728","3,125","4,592","2,661","1,204","1,024","779","1,113","5,906","3,547","1,557","297","729","205","14,015","15,198","1,342","1,532","8,143","9,060","223","1,302","1,170","2,434","3,071","4,369","1,359","2,447","350","398","1,022","1,467"
"        45 to 49 years","31,470","15,500","16,791","1,618","1,912","555","278","9,487","813","5,587","5,408","1,232","340","369","587","10,067","849","5,942","5,763","1,375","483","437","769","2,810","3,625","1,620","756","783","382","581","5,062","2,940","1,280","252","709","179","14,331","14,991","1,618","1,789","9,271","9,851","296","836","1,169","1,800","2,654","3,329","784","1,291","294","268","580","815"
"        50 to 54 years","30,560","15,290","16,478","1,734","1,922","602","327","9,323","518","5,945","5,878","1,084","321","278","528","9,598","537","6,440","6,373","1,263","387","338","705","2,533","3,202","1,279","637","525","185","590","4,531","1,944","1,376","263","753","471","14,038","14,654","1,713","1,852","9,277","9,515","308","660","1,252","1,824","2,399","2,894","619","1,188","188","302","275","669"
"        55 to 59 years","28,367","13,298","14,682","1,503","1,880","397","272","9,821","215","6,910","6,893","1,122","419","104","623","10,193","233","7,243","7,226","1,340","518","130","663","1,936","2,758","1,604","805","678","269","679","4,059","1,709","1,141","403","527","346","12,218","12,804","1,450","1,647","9,713","10,072","152","683","1,080","1,878","1,822","2,606","921","1,384","377","300","372","822"
"        60 and 61 years","10,649","4,781","5,239","885","1,043","239","192","3,775","48","2,665","2,665","458","91","56","250","3,919","62","2,865","2,865","489","155","56","372","610","759","541","128","340","70","118","1,198","460","357","84","231","130","4,427","4,701","885","998","3,737","3,881","43","357","354","538","577","716","184","458","158","182","144","149"
"        62 to 64 years","14,651","6,821","7,473","985","1,049","62","32","5,335","85","3,822","3,822","630","312","124","228","5,537","85","3,916","3,916","693","382","124","270","692","1,102","677","410","253","178","398","1,490","473","448","168","214","156","6,513","6,718","985","1,011","5,289","5,419","101","218","308","755","640","1,001","459","652","64","28","202","410"
"        65 and 66 years","9,657","4,175","4,444","554","648","139","45","4,004","211","2,900","2,900","333","246","52","162","4,115","238","2,967","2,967","353","276","75","202","457","603","324","133","171","61","133","921","615","172","65","75","45","3,897","4,047","554","648","3,982","4,093","56","205","278","397","428","547","119","269","94","25","111","146"
"        67 to 69 years","12,026","5,678","5,935","789","836","189","101","4,691","32","3,455","3,445","730","93","98","196","4,803","32","3,503","3,493","730","145","98","231","472","618","320","88","174","59","68","1,021","480","265","90","146","46","5,366","5,459","778","825","4,679","4,774","11","136","312","476","462","607","184","257","47","130","112","146"
"        70 to 74 years","16,492","8,034","8,422","841","927","75","57","6,239","156","4,306","4,259","835","354","177","281","6,551","156","4,344","4,297","1,032","434","177","303","732","932","508","200","281","175","157","1,433","724","432","52","296","103","7,333","7,591","835","921","6,211","6,462","275","335","701","831","514","657","173","388","86","54","312","200"
"        75 to 79 years","10,189","4,662","4,906","484","517","99","75","4,152","98","3,052","3,044","428","127","153","159","4,215","121","3,122","3,114","439","127","153","229","540","704","288","164","124","29","131","816","266","276","58","139","130","4,470","4,587","484","517","4,152","4,192","85","138","192","319","474","619","150","244","33","46","63","164"
"        80 to 84 years","6,913","3,110","3,283","325","336","33","11","3,032","33","2,482","2,406","230","83","101","78","3,084","33","2,511","2,442","247","93","101","89","253","369","187","116","52","19","102","569","250","161","38","102","60","2,936","3,006","300","311","3,024","3,075","14","84","174","277","253","355","103","173","11","33","52","116"
"        85 years and over","7,832","2,886","2,928","497","510","10","10","3,951","255","3,019","3,019","295","94","102","86","3,970","255","3,110","3,110","305","98","102","164","425","463","61","28","23","0","28","715","344","251","137","86","12","2,649","2,659","497","510","3,924","3,943","12","29","237","269","419","451","32","42","13","10","19","38"
"    Female:","422,280","171,903","203,913","21,165","27,570","5,808","3,611","158,369","8,926","98,448","96,198","19,194","5,527","7,331","8,184","176,594","11,004","108,792","106,255","24,386","9,016","9,538","10,964","31,997","45,052","35,785","11,494","20,764","13,710","9,897","63,267","30,639","17,938","4,488","8,197","5,935","153,435","174,089","20,086","25,356","157,347","173,339","5,379","23,112","18,468","29,824","29,065","39,673","12,673","32,010","6,405","4,148","18,225","13,055"
"        Under 5 years","18,697","7,237","11,605","1,131","2,090","386","137","4,066","201","2,147","2,138","364","39","152","179","7,336","617","4,279","4,153","919","782","763","478","1,569","2,756","4,643","692","3,337","2,643","574","4,160","2,060","1,134","112","377","465","6,208","9,284","875","1,434","4,012","6,725","192","3,275","1,029","2,321","1,442","2,564","1,368","4,368","959","375","3,270","1,187"
"        5 to 9 years","14,913","4,727","7,643","756","1,476","491","389","3,941","202","2,562","2,461","466","54","79","167","6,434","727","3,743","3,633","1,201","370","430","363","1,737","2,353","3,331","535","2,432","1,871","384","3,073","1,643","828","323","235","232","4,197","6,695","657","1,333","3,848","6,115","254","2,744","530","948","1,560","2,099","587","2,916","720","169","2,493","616"
"        10 to 14 years","15,502","4,766","7,481","1,191","1,789","372","94","4,167","167","2,838","2,781","357","53","25","301","5,695","386","3,685","3,628","761","270","225","414","2,104","3,372","3,107","1,094","1,754","1,212","976","4,293","2,116","1,349","507","443","252","3,917","5,535","999","1,545","4,134","5,496","377","1,901","849","1,946","1,935","2,995","1,206","2,715","598","300","1,528","1,268"
"        15 to 17 years","8,712","2,704","3,797","646","779","221","139","3,198","51","2,186","2,141","362","107","16","151","3,804","63","2,599","2,546","736","191","82","276","917","1,269","1,176","326","774","484","263","1,910","1,163","555","90","272","92","2,212","2,937","646","753","3,101","3,581","111","745","492","860","846","1,158","431","1,093","133","177","606","352"
"        18 and 19 years","7,542","2,906","3,694","608","741","159","132","2,121","150","1,173","1,173","439","15","52","107","2,633","174","1,449","1,449","545","94","119","217","924","1,200","857","223","528","394","201","1,780","1,275","273","48","75","70","2,340","2,890","560","667","2,081","2,533","162","597","566","804","802","1,038","260","788","133","74","512","276"
"        20 years","3,334","877","1,255","266","335","91","44","1,323","89","713","640","181","10","19","97","1,434","89","787","714","252","31","57","111","402","643","441","230","167","35","214","939","453","198","16","45","129","710","799","248","301","1,323","1,367","14","102","167","456","402","629","339","378","69","71","111","241"
"        21 years","3,213","872","1,155","263","282","53","36","1,180","126","489","484","213","28","21","94","1,356","126","622","597","300","102","38","123","446","570","312","124","188","164","119","795","413","147","44","87","25","674","820","263","282","1,180","1,316","25","170","198","335","438","545","142","283","19","5","176","124"
"        22 to 24 years","16,323","6,398","7,644","999","1,278","327","182","6,044","513","3,572","3,444","695","87","412","246","6,689","578","4,009","3,881","852","261","451","409","1,310","1,889","1,431","492","766","418","426","2,744","1,564","708","67","388","198","5,449","6,194","952","1,185","6,026","6,622","285","868","949","1,450","1,124","1,604","563","1,246","279","260","645","579"
"        25 to 29 years","45,776","21,347","24,304","2,015","2,713","367","284","15,543","1,910","8,535","8,206","1,382","436","890","1,011","17,474","2,052","9,467","9,043","1,895","869","1,062","1,328","3,481","4,305","3,245","655","2,292","1,580","511","6,603","3,409","1,401","270","704","746","18,879","21,227","1,896","2,478","15,415","17,202","535","2,533","2,468","3,077","3,145","3,770","712","2,957","698","297","1,931","824"
"        30 to 34 years","48,143","23,588","27,143","1,864","2,654","451","258","15,539","2,006","8,035","7,537","1,399","195","1,314","903","17,808","2,266","9,242","8,695","2,071","561","1,502","1,263","2,926","4,048","3,944","1,110","2,450","1,671","898","6,590","3,370","1,474","375","686","838","21,421","23,739","1,711","2,386","15,452","17,404","367","2,578","2,167","3,404","2,753","3,681","1,366","3,555","790","345","2,269","1,122"
"        35 to 39 years","35,894","16,055","18,479","1,410","1,778","480","270","12,463","1,320","6,733","6,341","1,407","221","934","907","13,766","1,497","7,197","6,826","1,593","589","1,135","1,049","2,963","3,886","2,567","830","1,563","1,093","739","5,328","2,878","1,467","375","743","491","14,470","16,051","1,360","1,718","12,425","13,599","583","1,671","1,585","2,428","2,526","3,303","896","2,424","368","207","1,303","923"
"        40 to 44 years","29,202","12,720","14,724","1,164","1,630","512","327","10,308","639","5,427","5,291","1,310","737","847","696","11,129","742","5,775","5,639","1,591","926","911","796","2,474","3,514","2,287","1,003","1,100","532","856","4,497","2,174","1,534","394","598","385","11,462","12,777","1,111","1,452","10,288","11,079","567","1,485","1,258","1,947","2,297","2,947","802","2,004","466","366","821","1,040"
"        45 to 49 years","26,832","11,160","12,778","1,120","1,275","321","252","10,722","456","6,551","6,274","1,685","419","466","383","11,476","519","7,082","6,805","1,795","601","548","555","1,846","2,714","1,848","841","914","583","730","3,893","1,790","863","198","450","531","10,045","10,894","1,113","1,268","10,619","11,266","147","958","1,115","1,884","1,762","2,567","890","1,618","155","226","754","868"
"        50 to 54 years","25,212","10,324","11,562","1,115","1,389","292","248","10,511","276","6,968","6,900","1,411","501","539","460","10,969","303","7,173","7,105","1,633","526","557","578","1,646","2,360","1,491","660","659","224","620","3,324","1,357","982","138","544","257","9,132","9,892","1,115","1,389","10,418","10,845","399","973","1,192","1,670","1,513","1,961","518","1,238","274","246","458","714"
"        55 to 59 years","23,999","8,387","9,707","1,158","1,325","304","155","11,368","200","7,859","7,859","1,266","696","230","639","11,631","200","8,164","8,164","1,418","750","230","768","1,471","2,483","1,483","942","395","175","820","3,253","1,420","942","326","478","510","7,519","7,972","1,158","1,279","11,278","11,515","286","549","868","1,735","1,327","2,197","934","1,320","167","218","263","1,012"
"        60 and 61 years","10,157","3,502","4,075","653","717","249","166","4,744","75","3,402","3,395","603","127","160","208","4,961","75","3,536","3,512","749","203","170","244","579","858","622","262","233","93","262","1,154","382","424","72","284","45","3,173","3,521","653","701","4,744","4,876","188","397","329","554","579","670","225","573","64","228","217","279"
"        62 to 64 years","13,985","5,631","6,192","937","1,008","92","82","6,123","96","4,146","4,116","698","232","293","482","6,269","96","4,256","4,226","751","253","323","534","661","998","576","316","206","125","310","1,457","623","578","231","248","135","5,126","5,407","924","983","6,112","6,258","82","296","505","785","648","916","280","561","71","91","146","337"
"        65 and 66 years","9,255","3,203","3,502","481","524","99","29","4,279","57","3,367","3,360","495","62","78","81","4,432","57","3,440","3,433","551","72","78","131","918","1,054","338","118","181","96","89","1,116","253","619","149","311","101","2,944","3,123","470","513","4,270","4,376","250","192","259","379","679","804","146","299","43","63","153","136"
"        67 to 69 years","12,391","4,361","4,727","560","640","163","71","6,102","38","4,440","4,426","878","213","117","273","6,252","51","4,613","4,599","935","225","146","356","772","1,018","474","244","225","104","200","1,256","343","588","212","185","66","4,044","4,224","560","608","6,080","6,217","134","243","317","503","686","884","231","366","80","82","150","246"
"        70 to 74 years","18,768","8,084","8,402","943","1,029","133","127","8,128","124","5,737","5,688","1,206","334","201","292","8,253","149","5,927","5,878","1,309","350","201","399","1,095","1,255","388","142","203","74","126","1,579","529","631","116","502","143","7,548","7,734","937","1,016","8,128","8,240","240","240","536","668","889","1,015","148","318","86","115","125","160"
"        75 to 79 years","11,416","4,842","5,193","597","698","28","21","5,043","99","3,271","3,257","1,077","165","127","145","5,089","99","3,383","3,376","1,100","165","127","185","512","835","410","323","43","0","275","1,098","404","346","126","158","80","4,539","4,675","597","652","5,016","5,062","67","147","303","518","505","768","263","351","101","16","46","323"
"        80 to 84 years","9,052","3,213","3,421","522","605","77","77","4,542","30","3,279","3,279","572","179","162","205","4,597","30","3,285","3,285","624","179","174","205","460","629","315","169","139","28","141","858","285","364","41","211","52","2,924","3,035","515","598","4,526","4,581","83","218","289","386","449","546","97","208","83","77","55","169"
"        85 years and over","13,962","4,999","5,430","766","815","140","91","6,914","101","5,018","5,007","728","617","197","157","7,107","108","5,079","5,068","805","646","209","182","784","1,043","499","163","215","111","163","1,567","735","533","258","173","92","4,502","4,664","766","815","6,871","7,064","31","230","497","766","758","1,012","269","431","49","140","193","259"
