Regions Code,Regions,Marital and civil partnership status (6 categories) Code,Marital and civil partnership status (6 categories),Sex (2 categories) Code,Sex (2 categories),Age (6 categories) Code,Age (6 categories),Observation
E12000007,London,4,Divorced or civil partnership dissolved,1,Female,5,Aged 50 to 64 years,125104
E12000007,London,4,Divorced or civil partnership dissolved,1,Female,6,Aged 65 years and over,87529
E12000007,London,4,Divorced or civil partnership dissolved,2,Male,1,Aged 15 years and under,0
E12000007,London,4,Divorced or civil partnership dissolved,2,Male,2,Aged 16 to 24 years,185
E12000007,London,4,Divorced or civil partnership dissolved,2,Male,3,Aged 25 to 34 years,7716
E12000007,London,4,Divorced or civil partnership dissolved,2,Male,4,Aged 35 to 49 years,56883
E12000007,London,4,Divorced or civil partnership dissolved,2,Male,5,Aged 50 to 64 years,82211
E12000007,London,4,Divorced or civil partnership dissolved,2,Male,6,Aged 65 years and over,52835
E12000007,London,5,Widowed or surviving civil partnership partner,1,Female,1,Aged 15 years and under,0
E12000007,London,5,Widowed or surviving civil partnership partner,1,Female,2,Aged 16 to 24 years,151
E12000007,London,5,Widowed or surviving civil partnership partner,1,Female,3,Aged 25 to 34 years,662
E12000007,London,5,Widowed or surviving civil partnership partner,1,Female,4,Aged 35 to 49 years,7817
E12000007,London,5,Widowed or surviving civil partnership partner,1,Female,5,Aged 50 to 64 years,37079
E12000007,London,5,Widowed or surviving civil partnership partner,1,Female,6,Aged 65 years and over,189133
E12000007,London,5,Widowed or surviving civil partnership partner,2,Male,1,Aged 15 years and under,0
E12000007,London,5,Widowed or surviving civil partnership partner,2,Male,2,Aged 16 to 24 years,95
E12000007,London,5,Widowed or surviving civil partnership partner,2,Male,3,Aged 25 to 34 years,267
E12000007,London,5,Widowed or surviving civil partnership partner,2,Male,4,Aged 35 to 49 years,2132
E12000007,London,5,Widowed or surviving civil partnership partner,2,Male,5,Aged 50 to 64 years,9370
E12000007,London,5,Widowed or surviving civil partnership partner,2,Male,6,Aged 65 years and over,48985
